Clubes,América,Atlético,Athletico,Bahia,Botafogo,Corinthians,Coritiba,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Goiás,Internacional,Palmeiras,Santos,São Paulo,Vasco da Gama,Média da Liga
Direitos de transmissão,0,0,0,0,0,0,51.0,0,0,326,0,0,193.0,0,0,183.0,97.0,0,0,170.0
Publicidade e patrocínio,0,0,0,0,0,0,14.2,0,0,183,0,0,74.0,0,0,121.0,78.0,0,0,94.03999999999999
Arrecadação de jogos,0,0,0,0,0,0,11.7,0,0,169,0,0,2.4,0,0,63.0,26.0,0,0,54.42
Sócio-torcedor,0,0,0,0,0,0,26.9,0,0,90,0,0,86.0,0,0,59.0,0.0,0,0,65.475
Premiações,0,0,0,0,0,0,0.0,0,0,137,0,0,0.0,0,0,80.0,0.0,0,0,108.5
Licenciamento da marca,0,0,0,0,0,0,0.0,0,0,59,0,0,31.0,0,0,36.0,1.4,0,0,31.85
RECEITA RECORRENTE,0,0,0,0,0,0,103.80000000000001,0,0,964,0,0,386.4,0,0,542.0,202.4,0,0,439.71999999999997
Negociação de atletas,0,0,0,0,0,0,15.2,0,0,303,0,0,50.0,0,0,187.0,174.0,0,0,145.84
Outras receitas,0,0,0,0,0,0,41.0,0,0,18,0,0,12.399999999999977,0,0,110.0,47.599999999999994,0,0,45.8
RECEITA OPERACIONAL LÍQUIDA,0,0,0,0,0,0,160.1,0,0,1316,0,0,424.0,0,0,839.0,424.0,0,0,632.62
Pessoal e encargos sociais,0,0,0,0,0,0,85.1,0,0,339,0,0,128.0,0,0,319.0,147.0,0,0,203.62
Direitos de imagem,0,0,0,0,0,0,34.0,0,0,124,0,0,103.0,0,0,86.0,33.0,0,0,76.0
Despesas com jogos,0,0,0,0,0,0,6.0,0,0,125,0,0,23.0,0,0,26.0,25.0,0,0,41.0
Despesas gerais e administrativas,0,0,0,0,0,0,58.0,0,0,131,0,0,89.0,0,0,86.0,59.0,0,0,84.6
Depreciação e amortização,0,0,0,0,0,0,0.4,0,0,200,0,0,5.3,0,0,106.0,49.5,0,0,72.24000000000001
Outras despesas,0,0,0,0,0,0,24.5,0,0,34,0,0,109.69999999999999,0,0,154.0,105.5,0,0,85.53999999999999
DESPESAS,0,0,0,0,0,0,208.0,0,0,953,0,0,458.0,0,0,777.0,419.0,0,0,563.0
RESULTADO OPERACIONAL,0,0,0,0,0,0,118.0,0,0,292,0,0,9.5,0,0,62.0,5.0,0,0,97.3
Resultado Financeiro,0,0,0,0,0,0,30.0,0,0,28,0,0,55.0,0,0,53.0,4.0,0,0,34.0
Superávit/Déficit,0,0,0,0,0,0,50.0,0,0,320,0,0,45.0,0,0,8.5,1.0,0,0,84.9
Folha de Pessoal/Imagem,0,0,0,0,0,0,119.1,0,0,463,0,0,231.0,0,0,405.0,180.0,0,0,279.62
Transmissão + Premiações,0,0,0,0,0,0,51.0,0,0,463,0,0,193.0,0,0,263.0,97.0,0,0,213.4
Folha do Futebol,0,0,0,0,0,0,119.1,0,0,463,0,0,231.0,0,0,405.0,172.0,0,0,278.02
Venda de Direitos - Liga Forte,0,0,0,0,0,0,152.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,152.0
Outras Despesas Operacionais,0,0,0,0,0,0,69.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,69.0
Ajuste - LFF,0,0,0,0,0,0,48.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,48.0
