Clubes,América,Atlético,Athlético,Bahia,Botafogo,Corinthians,Coritiba,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Goiás,Internacional,Palmeiras,Santos,São Paulo,Vasco da Gama
Direitos de transmissão,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,325973.0,0.0,0.0,0.0,0.0,0.0,182897.0,0.0,0.0,0.0
Publicidade e patrocínio,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,183395.0,0.0,0.0,0.0,0.0,0.0,120732.0,0.0,0.0,0.0
Arrecadação de jogos,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,169024.0,0.0,0.0,0.0,0.0,0.0,62984.0,0.0,0.0,0.0
Sócio-torcedor,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,89952.0,0.0,0.0,0.0,0.0,0.0,58717.0,0.0,0.0,0.0
Premiações,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,96286.0,0.0,0.0,0.0,0.0,0.0,79869.0,0.0,0.0,0.0
Licenciamento da marca,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,58879.0,0.0,0.0,0.0,0.0,0.0,35651.0,0.0,0.0,0.0
RECEITA RECORRENTE,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,923509.0,0.0,0.0,0.0,0.0,0.0,540850.0,0.0,0.0,0.0
Negociação de atletas,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,303493.0,0.0,0.0,0.0,0.0,0.0,187020.0,0.0,0.0,0.0
Outras receitas,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18192.0,0.0,0.0,0.0,0.0,0.0,3921.0,0.0,0.0,0.0
RECEITA OPERACIONAL LÍQUIDA,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1245194.0,0.0,0.0,0.0,0.0,0.0,731791.0,0.0,0.0,0.0
Pessoal e encargos sociais,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,339050.0,0.0,0.0,0.0,0.0,0.0,387440.0,0.0,0.0,0.0
Direitos de imagem,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,124000.0,0.0,0.0,0.0,0.0,0.0,86080.0,0.0,0.0,0.0
Despesas com jogos,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,125152.0,0.0,0.0,0.0,0.0,0.0,26400.0,0.0,0.0,0.0
Despesas gerais e administrativas,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,130691.0,0.0,0.0,0.0,0.0,0.0,86413.0,0.0,0.0,0.0
Depreciação e amortização,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,200279.0,0.0,0.0,0.0,0.0,0.0,105503.0,0.0,0.0,0.0
Outras despesas,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16912.0,0.0,0.0,0.0,0.0,0.0,5464.0,0.0,0.0,0.0
DESPESAS,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,936084.0,0.0,0.0,0.0,0.0,0.0,697300.0,0.0,0.0,0.0
RESULTADO,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,309110.0,0.0,0.0,0.0,0.0,0.0,34491.0,0.0,0.0,0.0
Geração de Caixa Operacional,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,319545.0,0.0,0.0,0.0,0.0,0.0,236899.0,0.0,0.0,0.0
EBITDA,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,485000.0,0.0,0.0,0.0,0.0,0.0,185911.0,0.0,0.0,0.0
Dívida,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,167152.0,0.0,0.0,0.0,0.0,0.0,436696.0,0.0,0.0,0.0
Provisão p/ Contingências,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,58780.0,0.0,0.0,0.0,0.0,0.0,23189.0,0.0,0.0,0.0
Aquisições de atletas (+luvas),0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,273143.0,0.0,0.0,0.0,0.0,0.0,184380.0,0.0,0.0,0.0
Gastos com atletas em formação,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23917.0,0.0,0.0,0.0,0.0,0.0,31844.0,0.0,0.0,0.0
Despesas Operacionais c/ Base,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46622.0,0.0,0.0,0.0
Base de Torcedores,0.5,4.3,1.5,3.6,2,14.2,0.1,6.1,0.1,21.9,3.4,1.2,4.6,0.2,3.5,7.7,3.1,9.9,6.2
Pontuação Série A 2023,24.0,66.0,56.0,44.0,64,50.0,30.0,47.0,51.0,66.0,56.0,54.0,68.0,38.0,55.0,70.0,43.0,53.0,45.0
Colocação Série A 2023,20.0,3.0,8.0,16.0,5,13.0,19.0,14.0,12.0,4.0,7.0,10.0,2.0,18.0,9.0,1.0,17.0,11.0,15.0
